DATE,MEMBER,PRICE,PLACE,ADDRESS,LATITUDE,LONGITUDE,
2022-01-24,3,42000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50809059,126.9402766,
2022-01-28,4,60000,남도미식(사당로16길 17),서울 동작구 사당로16길 17 2층,37.482629,126.9735036,
2022-02-03,4,75000,남도미식(사당로16길 17),서울 동작구 사당로16길 17 2층,37.482629,126.9735036,
2022-02-07,4,76000,남도미식(사당로16길 17),서울 동작구 사당로16길 17 2층,37.482629,126.9735036,
2022-02-10,4,44700,다채(상도로166),서울 동작구 알마타길 6 하늘마루타운 1층,37.50964489,126.9246444,
2022-02-17,4,75000,옥이네순두부(사당로 224-1),서울 동작구 사당로 224-1,37.48362217,126.9726807,
2022-02-18,28,228000,자금성(사당동 224-49),서울 동작구 사당로16가길 97,37.48495918,126.9686748,
2022-02-26,10,150000,김재운초밥사랑,서울 동작구 동작대로 69 1층,37.48268909,126.9815509,
2022-02-14,16,210300,본도시락   사당점,서울 관악구 남부순환로 2044 동해빌딩 1층,37.47625038,126.9759506,
2022-02-23,2,13200,본도시락   사당점,서울 관악구 남부순환로 2044 동해빌딩 1층,37.47625038,126.9759506,
2022-02-28,5,51000,김재운초밥사랑,서울 동작구 동작대로 69 1층,37.48268909,126.9815509,
2022-02-25,4,32000,궁중순대보쌈,서울 동작구 등용로14길 60,37.51224361,126.9348724,
2022-02-16,4,52000,순천집,서울 동작구 노량진로 80 큐브스테이트 2층,37.51286519,126.9346626,
2022-02-14,4,31000,고흥회수산,서울 동작구 등용로 124,37.51227134,126.9321125,
2022-02-08,3,36000,순천집,서울 동작구 노량진로 80 큐브스테이트 2층,37.51286519,126.9346626,
2022-02-03,4,53600,카츠진   노량진점,서울 동작구 노량진로8길 21 1층,37.51276715,126.9366336,
2022-02-07,3,30000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-02-04,3,28000,약초마을,서울 동작구 노량진로 26 1층 102호,37.50530974,126.9129035,
2022-02-03,5,50000,홍도,서울 동작구 노량진로6길 6-3,37.51277343,126.9357513,
2022-02-04,6,112000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50808608,126.9402822,
2022-01-26,3,35000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50808608,126.9402822,
2022-01-27,5,135000,장수촌,서울 동작구 사당로17가길 16,37.48400969,126.9730367,
2022-02-04,4,40000,강촌민물매운탕,서울 동작구 여의대방로 126,37.49808471,126.9207743,
2022-02-09,6,174000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-11,3,42000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50808608,126.9402822,
2022-02-16,5,72000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50808608,126.9402822,
2022-02-17,6,42000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50808608,126.9402822,
2022-02-04,5,35000,성림식당,서울 동작구 장승배기로 118-1 1층,37.50808608,126.9402822,
2022-02-08,6,80000,원일이정육식당,서울 동작구 사당로2차길 78,37.48681509,126.9680578,
2022-02-17,6,79000,명품청기와감자탕남성역점,서울 동작구 사당로8길 4,37.48496391,126.9695398,
2022-02-21,20,101600,에그드랍   서울대입구,서울 관악구 관악로 168 1층,37.48021913,126.952871,
2022-02-22,4,32000,담쟁이,서울 동작구 사당로 168,37.48676766,126.9676027,
2022-02-23,5,45000,원일이정육식당,서울 동작구 사당로2차길 78,37.48681509,126.9680578,
2022-02-25,4,37000,두꺼비부대찌개,서울 동작구 노량진로8길 58,37.51220048,126.9384438,
2022-02-25,4,56000,명성식당,서울 동작구 장승배기로 157-2,37.51170341,126.9398778,
2022-02-28,4,72000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-01-11,6,129000,국풍,서울 동작구 등용로14길 82 2층,37.51263618,126.9360342,
2022-01-18,5,45000,남월골추어탕,서울 동작구 노량진로8길 34,37.51263618,126.9360342,
2022-01-19,6,50000,궁중순대보쌈,서울 동작구 등용로14길 60,37.51224361,126.9348724,
2022-01-20,6,43000,금옥이네,서울 동작구 노량진로6길 18,37.51263618,126.9360342,
2022-01-21,4,90000,명성식당,서울 동작구 장승배기로 157-2,37.51263618,126.9360342,
2022-01-24,4,18600,헤븐리가든,서울 동작구 상도로34길 11 1층,37.50416267,126.9459232,
2022-01-26,4,76000,두부마을,서울 동작구 상도로 65,37.51263618,126.9360342,
2022-01-14,4,8800,헤븐리가든,서울 동작구 상도로34길 11 1층,37.50416267,126.9459232,
2022.01.04,3,17500,헤븐리가든,서울 동작구 상도로34길 11 1층,37.50416267,126.9459232,
2022.01.06,6,77000,두부마을,서울 동작구 상도로 65,37.51263618,126.9360342,
2022.01.13,6,100000,브레드제이,서울 동작구 상도로 192 1층,37.50493924,126.9401123,
2022.01.18,3,12600,헤븐리가든,서울 동작구 상도로34길 11 1층,37.50416267,126.9459232,
2022.01.19,6,100000,차이싱,서울 동작구 장승배기로11가길 11 2층,37.50573389,126.9391673,
2022.01.21,14,38000,원할머니보쌈흑석점,서울 동작구 현충로 100-1,37.50759136,126.9647577,
2022.01.26,10,108000,황토정,서울 동작구 서달로13길 5-23,37.50759136,126.9647577,
2022.01.27,14,99000,전주해물콩나물국밥,서울 동작구 흑석로9길 4 지하1층,37.50765741,126.9599848,
2022.01.26,6,59500,피맥하우스 흑석점,서울 동작구 현충로 96,37.50790656,126.9642514,
2022.01.19,6,49000,㈜안동장,서울 동작구 흑석로 105-1,37.50818034,126.9610166,
2022.01.20,4,37500,백소정 중앙대점,서울 동작구 흑석로9길 2 2층,37.50818034,126.9610166,
2022.01.21,4,44000,신방통통 낙지,서울 동작구 상도로26길 12,37.50387071,126.9384817,
2022.01.22,4,79000,시래불고기 화풍정,서울 동작구 상도로 102,37.50818034,126.9610166,
2022.01.28,3,79000,시래불고기 화풍정,서울 동작구 상도로 102,37.50818034,126.9610166,
2021-01-06,5,135000,농실가,서울 동작구 상도로 142,37.50818034,126.9610166,
2022-01-12,4,64000,복어마을,서울 동작구 상도로 103 1층,37.50818034,126.9610166,
2022-01-20,4,34900,（주）써브웨이노량진,서울 동작구 노량진로 166,37.51301009,126.9449526,
2022-01-27,6,105000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-02-03,4,52500,오유미당노량진점,서울 동작구 만양로18길 14,37.5130101,126.944978,
2022-02-10,4,75200,카츠진   노량진점,서울 동작구 노량진로8길 21 1층,37.51275589,126.9366279,
2022-02-17,5,73400,네이버후드   버거락,서울 동작구 노량진로 157 1층,37.51393736,126.9433316,
2022-02-17,5,120000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-02-18,6,105000,밋투데이（ＭＥＡＴ,서울 동작구 장승배기로24길 6 1층,37.51393736,126.9433316,
2022-02-21,4,60000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-02-22,6,151000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-24,6,180000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-07,6,131000,거구회관,서울 동작구 등용로14길 76,37.51244002,126.9356724,
2022-02-08,6,160000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-10,6,180000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-14,6,180000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-14,6,176000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-15,6,180000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
2022-02-17,6,180000,수산식당,서울 동작구 노들로2길 9-8,37.51437259,126.9397909,
